year,entity,code,emissions
1751,EU-28,,9350528
1751,Europe (other),,0
1751,United States,USA,0
1751,Americas (other),,0
1751,Middle East,,0
1751,Africa,,0
1751,India,IND,0
1751,China,CHN,0
1751,Asia and Pacific (other),,0
1751,International transport,,0
1751,Statistical differences,,0
1751,United Kingdom,GBR,9350528
1751,World,OWID_WRL,9350528
1752,EU-28,,9354192
1752,Europe (other),,0
1752,United States,USA,0
1752,Americas (other),,0
1752,Middle East,,0
1752,Africa,,0
1752,India,IND,0
1752,China,CHN,0
1752,Asia and Pacific (other),,0
1752,International transport,,0
1752,Statistical differences,,0
1752,United Kingdom,GBR,9354192
1752,World,OWID_WRL,9354192
1753,EU-28,,9354192
1753,Europe (other),,0
1753,United States,USA,0
1753,Americas (other),,0
1753,Middle East,,0
1753,Africa,,0
1753,India,IND,0
1753,China,CHN,0
1753,Asia and Pacific (other),,0
1753,International transport,,0
1753,Statistical differences,,0
1753,United Kingdom,GBR,9354192
1753,World,OWID_WRL,9354192
1754,EU-28,,9357856
1754,Europe (other),,0
1754,United States,USA,0
1754,Americas (other),,0
1754,Middle East,,0
1754,Africa,,0
1754,India,IND,0
1754,China,CHN,0
1754,Asia and Pacific (other),,0
1754,International transport,,0
1754,Statistical differences,,0
1754,United Kingdom,GBR,9357856
1754,World,OWID_WRL,9357856
1755,EU-28,,9361520
1755,Europe (other),,0
1755,United States,USA,0
1755,Americas (other),,0
1755,Middle East,,0
1755,Africa,,0
1755,India,IND,0
1755,China,CHN,0
1755,Asia and Pacific (other),,0
1755,International transport,,0
1755,Statistical differences,,0
1755,United Kingdom,GBR,9361520
1755,World,OWID_WRL,9361520
1756,EU-28,,10006384
1756,Europe (other),,0
1756,United States,USA,0
1756,Americas (other),,0
1756,Middle East,,0
1756,Africa,,0
1756,India,IND,0
1756,China,CHN,0
1756,Asia and Pacific (other),,0
1756,International transport,,0
1756,Statistical differences,,0
1756,United Kingdom,GBR,10006384
1756,World,OWID_WRL,10006384
1757,EU-28,,10010048
1757,Europe (other),,0
1757,United States,USA,0
1757,Americas (other),,0
1757,Middle East,,0
1757,Africa,,0
1757,India,IND,0
1757,China,CHN,0
1757,Asia and Pacific (other),,0
1757,International transport,,0
1757,Statistical differences,,0
1757,United Kingdom,GBR,10010048
1757,World,OWID_WRL,10010048
1758,EU-28,,10013712
1758,Europe (other),,0
1758,United States,USA,0
1758,Americas (other),,0
1758,Middle East,,0
1758,Africa,,0
1758,India,IND,0
1758,China,CHN,0
1758,Asia and Pacific (other),,0
1758,International transport,,0
1758,Statistical differences,,0
1758,United Kingdom,GBR,10013712
1758,World,OWID_WRL,10013712
1759,EU-28,,10017376
1759,Europe (other),,0
1759,United States,USA,0
1759,Americas (other),,0
1759,Middle East,,0
1759,Africa,,0
1759,India,IND,0
1759,China,CHN,0
1759,Asia and Pacific (other),,0
1759,International transport,,0
1759,Statistical differences,,0
1759,United Kingdom,GBR,10017376
1759,World,OWID_WRL,10017376
1760,EU-28,,10017376
1760,Europe (other),,0
1760,United States,USA,0
1760,Americas (other),,0
1760,Middle East,,0
1760,Africa,,0
1760,India,IND,0
1760,China,CHN,0
1760,Asia and Pacific (other),,0
1760,International transport,,0
1760,Statistical differences,,0
1760,United Kingdom,GBR,10017376
1760,World,OWID_WRL,10017376
1761,EU-28,,10973680
1761,Europe (other),,0
1761,United States,USA,0
1761,Americas (other),,0
1761,Middle East,,0
1761,Africa,,0
1761,India,IND,0
1761,China,CHN,0
1761,Asia and Pacific (other),,0
1761,International transport,,0
1761,Statistical differences,,0
1761,United Kingdom,GBR,10973680
1761,World,OWID_WRL,10973680
1762,EU-28,,10977344
1762,Europe (other),,0
1762,United States,USA,0
1762,Americas (other),,0
1762,Middle East,,0
1762,Africa,,0
1762,India,IND,0
1762,China,CHN,0
1762,Asia and Pacific (other),,0
1762,International transport,,0
1762,Statistical differences,,0
1762,United Kingdom,GBR,10977344
1762,World,OWID_WRL,10977344
1763,EU-28,,10981008
1763,Europe (other),,0
1763,United States,USA,0
1763,Americas (other),,0
1763,Middle East,,0
1763,Africa,,0
1763,India,IND,0
1763,China,CHN,0
1763,Asia and Pacific (other),,0
1763,International transport,,0
1763,Statistical differences,,0
1763,United Kingdom,GBR,10981008
1763,World,OWID_WRL,10981008
1764,EU-28,,10984672
1764,Europe (other),,0
1764,United States,USA,0
1764,Americas (other),,0
1764,Middle East,,0
1764,Africa,,0
1764,India,IND,0
1764,China,CHN,0
1764,Asia and Pacific (other),,0
1764,International transport,,0
1764,Statistical differences,,0
1764,United Kingdom,GBR,10984672
1764,World,OWID_WRL,10984672
1765,EU-28,,10988336
1765,Europe (other),,0
1765,United States,USA,0
1765,Americas (other),,0
1765,Middle East,,0
1765,Africa,,0
1765,India,IND,0
1765,China,CHN,0
1765,Asia and Pacific (other),,0
1765,International transport,,0
1765,Statistical differences,,0
1765,United Kingdom,GBR,10988336
1765,World,OWID_WRL,10988336
1766,EU-28,,12259744
1766,Europe (other),,0
1766,United States,USA,0
1766,Americas (other),,0
1766,Middle East,,0
1766,Africa,,0
1766,India,IND,0
1766,China,CHN,0
1766,Asia and Pacific (other),,0
1766,International transport,,0
1766,Statistical differences,,0
1766,United Kingdom,GBR,12259744
1766,World,OWID_WRL,12259744
1767,EU-28,,12263408
1767,Europe (other),,0
1767,United States,USA,0
1767,Americas (other),,0
1767,Middle East,,0
1767,Africa,,0
1767,India,IND,0
1767,China,CHN,0
1767,Asia and Pacific (other),,0
1767,International transport,,0
1767,Statistical differences,,0
1767,United Kingdom,GBR,12263408
1767,World,OWID_WRL,12263408
1768,EU-28,,12267072
1768,Europe (other),,0
1768,United States,USA,0
1768,Americas (other),,0
1768,Middle East,,0
1768,Africa,,0
1768,India,IND,0
1768,China,CHN,0
1768,Asia and Pacific (other),,0
1768,International transport,,0
1768,Statistical differences,,0
1768,United Kingdom,GBR,12267072
1768,World,OWID_WRL,12267072
1769,EU-28,,12270736
1769,Europe (other),,0
1769,United States,USA,0
1769,Americas (other),,0
1769,Middle East,,0
1769,Africa,,0
1769,India,IND,0
1769,China,CHN,0
1769,Asia and Pacific (other),,0
