year,month,prov,n_tMean,tMean,n_pMean,pMean
1981,1,AB,-10.86825,-4.530666667,22.8975,9.9825
1981,1,BC,-1.334606742,1.908840729,179.6601124,93.31011236
1981,1,MB,-17.13875,-13.85921394,21.53875,15.07083333
1981,1,NB,-10.60578947,-13.51755167,101.3452632,106
1981,1,NL,-7.736470588,-5.686451613,110.4858824,97.73529412
1981,1,NS,-5.745454545,-8.318839114,130.7504545,157.0181818
1981,1,NT,-25.83,-14.83629032,13.205,11.625
1981,1,NU,-29.485,-23.68466191,10.58,14.65
1981,1,ON,-9.164107143,-12.45046659,67.6925,30.76964286
1981,1,PE,-7.878333333,-10.62688172,103.2933333,102.0833333
1981,1,QC,-12.57,-16.08108596,74.30242424,37.1
1981,1,SK,-15.0654,-10.45876307,17.8654,14.386
1981,1,YT,-19.525,-6.625806453,15.415,8.116666667
1981,2,AB,-8.575384615,-6.700984628,15.93794872,11.51794872
1981,2,BC,0.498681319,1.349573097,123.5323077,150.3285714
1981,2,MB,-13.60913043,-10.75885093,17.00478261,11.01304348
1981,2,NB,-8.767894737,-2.903947368,73.20947368,70.68421053
1981,2,NL,-7.814736842,-2.51163325,95.03368421,56.78421053
1981,2,NS,-4.897391304,-1.195186335,104.2508696,70.77826087
1981,2,NT,-24.335,-23.71607143,12.085,8.325
1981,2,NU,-29.96,-26.78348214,9.8425,19.95
1981,2,ON,-7.297894737,-4.40802005,54.13964912,80.09122807
1981,2,PE,-7.431666667,-2.145833333,81.30833333,36.55
1981,2,QC,-10.43939394,-4.20429334,61.2159596,101.4232323
1981,2,SK,-11.9376,-9.518759056,12.3312,7.2
1981,2,YT,-15.20666667,-13.88511905,11.185,17.71666667
1981,3,AB,-3.449318182,-0.191324732,22.92727273,13.90454545
1981,3,BC,3.481413043,4.869740533,119.4188043,101.5793478
1981,3,MB,-6.608695652,-2.066479663,24.95913043,13.23043478
1981,3,NB,-3.5015,-1.500666667,92.432,99.635
1981,3,NL,-4.081052632,-0.5729485,91.1,83.04736842
1981,3,NS,-1.154347826,0.468373072,123.4695652,100.4913043
1981,3,NT,-21.834,-19.58320356,9.932,5.98
1981,3,NU,-26.355,-21.7733871,12.335,9.8875
1981,3,ON,-2.22375,-1.110581731,58.26232143,39.6125
1981,3,PE,-2.986666667,-0.487096774,86.91333333,59.6
1981,3,QC,-4.611067961,-2.436330471,66.2623301,60.65825243
1981,3,SK,-5.125555556,-0.484848735,19.02240741,14.18148148
1981,3,YT,-11.02285714,-5.923041475,11.11142857,3.428571429
1981,4,AB,4.003863636,3.751402821,27.42772727,17.84772727
1981,4,BC,6.987526882,5.896213076,98.39290323,152.7612903
1981,4,MB,3.127307692,2.828527851,28.11307692,16.41538462
1981,4,NB,3.2395,3.980781609,86.117,94.385
1981,4,NL,1.52,2.128366606,86.83157895,88.33684211
1981,4,NS,4.313043478,4.942473763,110.3391304,84.51304348
1981,4,NT,-10.9575,-11.24583333,13.2825,23.55
1981,4,NU,-17.72625,-19.40916667,17.26375,13.5125
1981,4,ON,5.362142857,5.908156814,68.66464286,69.94107143
1981,4,PE,2.753333333,4.029444444,86.41,105.5666667
1981,4,QC,3.753636364,4.476477086,77.10343434,86.68585859
1981,4,SK,4.008301887,4.694507964,23.67226415,24.36603774
1981,4,YT,-1.35,-3.886666667,7.375714286,6.571428571
1981,5,AB,9.651590909,10.67122678,52.22386364,80.73636364
1981,5,BC,10.82822917,10.84419729,80.935,92.525
1981,5,MB,10.50125,10.11518817,57.30083333,49.43333333
1981,5,NB,9.9385,10.8533871,103.0185,110.22
1981,5,NL,6.659473684,8.281018675,87.67421053,92.54736842
1981,5,NS,9.827826087,10.59205704,107.9195652,137.426087
1981,5,NT,-0.525,2.200806451,18.6325,2.875
1981,5,NU,-7.48,-7.560573477,19.35444444,18.97777778
1981,5,ON,11.9845614,11.0410017,83.44964912,73.26666667
1981,5,PE,9.063333333,10.2655914,96.975,90.51666667
1981,5,QC,10.84721154,10.80844699,90.44634615,104.9173077
