year,mtDiff,mpDiff,mtDiffAbs,mpDiffAbs
1981,0.988376618,3.49436774,1.738655329,17.23325963
1982,-1.415001843,-1.482450465,1.89954279,16.02011542
1983,-0.181512303,2.381347089,1.563916276,19.18964873
1984,-0.227845342,0.545701614,1.718355183,18.39636089
1985,-0.966686202,-5.80883033,1.843965256,20.56189896
1986,-0.540684566,-0.574434382,1.809420874,16.67879593
1987,0.668642754,-6.098353127,1.557250229,16.06750174
1988,0.12464293,-1.529970505,1.105981368,18.46948049
1989,-0.70687041,-4.328805751,1.794739934,14.97944762
1990,-0.24321093,7.233192841,1.559137157,18.06266467
1991,-0.022990834,0.998227853,1.34353516,18.14775925
1992,-0.558616363,-3.909190335,1.652318538,16.58365621
1993,-0.381962785,1.335784052,1.362416202,16.279556
1994,-0.254225744,0.787828779,1.699761585,16.50449943
1995,-0.203403181,0.753007705,1.45676003,16.03808569
1996,-0.882719583,5.374611813,1.686550219,18.61866568
1997,-0.232747231,-2.119101791,1.416156697,15.09220231
1998,1.310620152,0.419052166,1.732305182,16.79707741
1999,1.086260377,1.958635176,1.672746211,17.46863
2000,0.104388886,2.731455962,1.224396234,15.59361774
2001,0.878884765,-9.816430076,1.495925846,16.04274287
2002,0.076015908,-0.614430739,1.714336071,15.07613196
2003,0.156679132,-0.867485544,1.442969137,17.11102368
2004,-0.279699483,-2.887685671,1.454203411,16.36680353
2005,0.714385635,4.678811448,1.353338588,18.37351107
2006,1.403824111,0.025150057,2.012965318,18.2363506
2007,0.095987938,-1.919803736,1.334998981,16.19872595
2008,-0.039360602,2.395100217,1.379277846,18.01172817
2009,-0.170180844,-1.317066578,1.615793454,18.91823593
2010,1.608525668,3.727443563,2.026998325,20.84683431
2011,0.55925722,5.02851586,1.481961115,18.98443546
2012,1.117984542,-2.04873933,1.83770311,20.65143146
2013,0.072652147,-0.821564808,1.596564909,18.28288039
2014,0.02940878,3.558298442,1.667020225,17.6124384
2015,0.647644963,-3.144962887,2.030498435,16.39122522
2016,1.348437857,0.427066884,1.844776491,20.84675513
2017,0.587891896,-2.746000311,1.385755285,21.68770083
2018,0.058329527,3.532349737,1.78551092,20.3727553
2019,-0.165419379,1.367039844,1.316781643,23.60453234
2020,0.865144133,-5.536689069,1.788318297,20.80460892
