year,co2
803719 BCE,207.29
803182 BCE,202.23
802573 BCE,204.86
802060 BCE,207.5
801975 BCE,202.92
801759 BCE,202.65
800922 BCE,198.66
799286 BCE,198.68
796731 BCE,200.49
795429 BCE,197.91
794903 BCE,198.79
793737 BCE,204.62
793172 BCE,208.79
791903 BCE,218.39
791569 BCE,213.36
790667 BCE,214.45
790081 BCE,224.69
789107 BCE,230.55
788689 BCE,227.38
788003 BCE,235.49
787544 BCE,238.64
786742 BCE,257.02
786529 BCE,257.2
785854 BCE,266
785406 BCE,269.36
784613 BCE,264.35
784240 BCE,262.23
783569 BCE,259.66
783084 BCE,255.85
782312 BCE,260.92
781249 BCE,255.02
780778 BCE,257.44
779937 BCE,251.51
779613 BCE,257.21
778769 BCE,252.52
778239 BCE,254.43
777418 BCE,254.69
777108 BCE,254.93
776283 BCE,252.46
775732 BCE,247.3
774833 BCE,248.92
774382 BCE,245.32
773588 BCE,241.74
773009 BCE,238.39
772094 BCE,239.23
771734 BCE,237.78
771300 BCE,246.03
771046 BCE,243.85
770788 BCE,246.49
770525 BCE,243.89
770225 BCE,239.71
769863 BCE,234.24
769569 BCE,236.32
769071 BCE,229.56
768649 BCE,230.63
767701 BCE,225.87
767111 BCE,221.64
766167 BCE,223.82
765797 BCE,224.86
764859 BCE,230.62
764239 BCE,232.12
763901 BCE,229.41
763637 BCE,233.66
763232 BCE,222.93
762727 BCE,223.89
761821 BCE,219.95
761152 BCE,214
760216 BCE,214.69
759914 BCE,216.64
758990 BCE,222.71
758566 BCE,225.62
758158 BCE,225.37
757928 BCE,223.02
757612 BCE,226.94
757186 BCE,222.72
756412 BCE,218.35
755835 BCE,213.61
754901 BCE,209.45
754616 BCE,208.1
753637 BCE,203.3
753165 BCE,199.05
751985 BCE,203.9
751539 BCE,195.43
750616 BCE,197.5
750024 BCE,193.55
749086 BCE,191.3
748756 BCE,192.08
747864 BCE,190.17
747313 BCE,188.68
746387 BCE,187.54
745990 BCE,187.95
745227 BCE,187.92
744670 BCE,190.24
743721 BCE,187.29
742573 BCE,188.97
742009 BCE,188.18
741112 BCE,187.33
740695 BCE,188.65
739924 BCE,189.14
739380 BCE,184.77
738511 BCE,183.39
738156 BCE,185.4
737225 BCE,185.61
736631 BCE,191.74
735710 BCE,204.52
735320 BCE,206.92
734572 BCE,213.14
734157 BCE,217.19
733460 BCE,217.88
733185 BCE,214.66
732513 BCE,216.15
732072 BCE,210.6
731379 BCE,207.72
731044 BCE,208.11
730372 BCE,213.73
729911 BCE,211.62
729234 BCE,210.7
728958 BCE,210.16
728310 BCE,212.17
727887 BCE,210.01
727038 BCE,211.08
726644 BCE,210.24
725949 BCE,210.07
724627 BCE,211.43
724300 BCE,211.08
723524 BCE,211.49
723025 BCE,210.48
722192 BCE,214.01
721830 BCE,212.55
721045 BCE,212.11
720556 BCE,216.1
719740 BCE,218.96
719458 BCE,219.2
718641 BCE,217.04
718137 BCE,212.03
717337 BCE,200.82
716828 BCE,193.46
716005 BCE,189.88
715398 BCE,198.43
714636 BCE,210.51
714360 BCE,213.6
713615 BCE,227.58
713166 BCE,223.14
712454 BCE,227.08
712116 BCE,227.64
711363 BCE,223.89
710294 BCE,224
710071 BCE,224.12
709449 BCE,225.39
709033 BCE,224.9
708506 BCE,227.03
707960 BCE,230.51
707504 BCE,231.43
707009 BCE,234.84
706463 BCE,233.11
706250 BCE,233.58
705694 BCE,233.51
705361 BCE,238.85
704761 BCE,236.05
704543 BCE,236.05
704103 BCE,237.66
703777 BCE,237.18
703294 BCE,235.09
703103 BCE,234.04
702632 BCE,233.54
702301 BCE,232.83
701846 BCE,232.28
701519 BCE,233.35
701060 BCE,230.59
700784 BCE,232.18
700251 BCE,232.16
700043 BCE,230.88
699575 BCE,232.46
699319 BCE,235.42
698865 BCE,236.61
698535 BCE,236.72
698154 BCE,237.21
697915 BCE,239.73
697489 BCE,239.01
697266 BCE,238.86
696803 BCE,241.83
696556 BCE,240.9
696089 BCE,241.03
695797 BCE,239.88
695392 BCE,238.42
695140 BCE,239.44
694695 BCE,238.13
694485 BCE,238.05
694032 BCE,238.74
693782 BCE,236.8
693309 BCE,239.8
